Quadrilateral Vertex: [ x y z ] , Closest Triangle Face Vertices: [ x y z ]
[-21.9984 -40.0065 786.223 ] , [ -22.2847 -39.957802 785.716003 ] [ -21.1385 -40.504501 787.549988 ] [ -20.614 -39.970402 787.992004 ]
[-23.597  -41.8085 784.042 ] , [ -23.341499 -43.117401 784.742981 ] [ -23.1348 -41.4692 784.940979 ] [ -23.866199 -41.4828 783.815979 ]
[-22.1648 -44.5465 784.482 ] , [ -22.995701 -45.4874 783.427002 ] [ -21.732401 -45.934502 783.106018 ] [ -22.1038 -44.451599 784.924988 ]
[-16.2992 -32.378  786.653 ] , [ -16.228201 -32.523602 786.862 ] [ -16.135599 -32.554798 785.692993 ] [ -16.6115 -32.9063 785.590027 ]
[ -6.55114  -5.19511 785.684  ] , [ -6.57542 -5.92093 786.26001 ] [ -5.43393 -4.25871 785.700989 ] [ -8.20081 -3.66564 783.434021 ]
[ 32.238  -34.6503 787.585 ] , [ 31.522499 -33.171299 788.232971 ] [ 30.8699 -34.552799 788.414978 ] [ 31.815701 -34.595699 787.137024 ]
[-14.8473 -27.3998 786.552 ] , [ -16.4538 -26.769699 785.651001 ] [ -13.6295 -27.420799 787.497986 ] [ -14.9631 -26.2132 787.044983 ]
[  9.11989  -5.92068 786.776  ] , [ 8.51883 -7.00171 787.549011 ] [ 10.4904 -6.55804 786.252014 ] [ 9.15648 -5.63238 786.518005 ]
[ 12.1174   -7.15521 785.709  ] , [ 11.7947 -7.20662 786.143005 ] [ 13.8634 -6.63442 784.924988 ] [ 12.3644 -6.0614 784.906982 ]
[-22.0173  31.4089 786.161 ] , [ -20.8468 31.405199 784.846008 ] [ -22.156 31.844601 785.739014 ] [ -21.8288 31.356501 784.976013 ]
[-20.496   32.9067 786.233 ] , [ -20.9533 32.4174 785.653015 ] [ -19.517099 32.965599 784.476013 ] [ -20.934401 34.156898 786.145996 ]
[-21.0006  35.5281 785.41  ] , [ -20.4286 34.810001 785.302979 ] [ -20.853201 35.934898 784.528992 ] [ -22.197001 35.7999 785.322998 ]
[-20.7123 -45.8606 783.418 ] , [ -19.8158 -46.105999 783.258972 ] [ -21.102699 -45.116699 784.190979 ] [ -21.732401 -45.934502 783.106018 ]
[-22.0109 -46.4702 782.263 ] , [ -23.0515 -46.815899 781.487976 ] [ -22.1863 -47.492001 781.01001 ] [ -21.732401 -45.934502 783.106018 ]
[-21.1256 -37.4333 784.119 ] , [ -22.0144 -37.709599 783.830017 ] [ -21.5116 -37.069599 785.059998 ] [ -20.3545 -36.0191 783.981018 ]
[ 34.3186 -31.6688 786.349 ] , [ 34.434898 -32.284401 786.02002 ] [ 34.645 -31.3015 785.671021 ] [ 34.2934 -30.9687 786.846008 ]
[ 27.0475 -24.6945 785.301 ] , [ 28.1978 -24.4184 785.422974 ] [ 26.0854 -24.277201 784.979004 ] [ 27.1998 -24.513 785.726013 ]
[ 22.6075 -23.8805 784.436 ] , [ 23.514799 -24.341499 783.26001 ] [ 22.2743 -24.2484 784.015015 ] [ 22.716 -24.4886 784.640991 ]
[-16.9522 -24.5393 786.176 ] , [ -17.603901 -24.442801 785.650024 ] [ -17.2663 -25.5728 785.695007 ] [ -14.9768 -24.752399 787.48999 ]
[-18.5506 -21.1561 785.122 ] , [ -17.9396 -21.586901 785.905029 ] [ -19.5415 -20.5508 784.258972 ] [ -18.6714 -22.3916 784.671997 ]
[ 19.46   -19.6957 785.053 ] , [ 18.6551 -22.0618 785.148987 ] [ 19.5975 -19.474199 784.953003 ] [ 18.6178 -20.333599 785.497986 ]
[ 18.2713 -22.1041 785.092 ] , [ 18.8666 -22.533899 784.794006 ] [ 18.6551 -22.0618 785.148987 ] [ 18.226999 -21.704399 785.409973 ]
[-13.8686 -10.9231 785.671 ] , [ -14.0997 -10.4234 784.619019 ] [ -13.6784 -11.4167 785.606018 ] [ -12.9346 -10.195 785.122986 ]
[-10.1292   -9.81734 786.64   ] , [ -9.60303 -8.90417 786.396973 ] [ -11.1189 -9.5907 785.882019 ] [ -8.4759 -10.4185 787.937988 ]
[ 14.9461 -11.1807 787.073 ] , [ 16.2444 -11.8265 786.215027 ] [ 16.221001 -10.4604 785.77301 ] [ 14.5085 -11.3484 787.458008 ]
[ 18.1276 -12.6025 785.153 ] , [ 18.886499 -12.8415 784.664001 ] [ 18.2663 -11.7217 784.692993 ] [ 17.673201 -13.1772 785.775024 ]
[-19.4244  31.9853 784.036 ] , [ -19.517099 32.965599 784.476013 ] [ -20.0128 32.0807 784.905029 ] [ -18.890499 31.459499 783.919006 ]
[-21.0362  30.4057 783.99  ] , [ -21.8347 30.405399 783.715027 ] [ -20.483999 29.774401 783.72998 ] [ -21.3223 30.6924 784.252991 ]
[-14.9105 -45.1103 784.266 ] , [ -16.610201 -44.6922 785.093018 ] [ -16.236799 -45.7416 783.987976 ] [ -13.7826 -45.2034 784.169983 ]
[-18.9002 -44.7145 784.956 ] , [ -18.9536 -45.294601 784.374023 ] [ -18.1945 -44.3134 785.481995 ] [ -19.771601 -44.7146 784.883972 ]
[ 28.1762 -41.9538 785.322 ] , [ 29.6509 -42.1577 785.221008 ] [ 28.111601 -40.583599 786.356995 ] [ 28.194599 -41.9147 786.247986 ]
[ 24.7795 -44.8361 784.75  ] , [ 26.1555 -45.126301 783.958008 ] [ 25.3225 -44.158699 785.359009 ] [ 24.0397 -45.172298 783.872986 ]
[-23.4275 -45.9491 782.604 ] , [ -23.917999 -45.7355 782.981995 ] [ -23.0515 -46.815899 781.487976 ] [ -22.995701 -45.4874 783.427002 ]
[ 30.1945 -37.4004 783.595 ] , [ 31.0385 -36.577999 783.54303 ] [ 29.712 -36.898201 784.291016 ] [ 30.016899 -37.210499 783.257996 ]
[ 20.5508 -16.8954 784.476 ] , [ 20.0275 -16.426001 784.987 ] [ 20.399 -17.882401 784.606995 ] [ 20.7209 -15.72 784.370972 ]
[ -9.61878  -6.30507 784.275  ] , [ -8.20081 -3.66564 783.434021 ] [ -10.1745 -7.0259 784.495972 ] [ -7.71713 -6.12053 785.679016 ]
[ -2.7151   -1.14542 784.202  ] , [ -2.54262 -0.518148 783.698975 ] [ -3.26475 -1.93246 784.690002 ] [ -1.76557 -1.17274 784.638 ]
[-3.68931e-01 -3.92904e+00  7.87632e+02] , [ -0.910676 -6.15491 789.286987 ] [ 0.684485 -5.05473 788.406982 ] [ -0.336017 -3.16322 786.85498 ]
[ 4.00005e-01 -8.57870e-01  7.84906e+02] , [ 1.53151 0.3972 783.664001 ] [ 0.282205 -0.102063 784.02002 ] [ 0.211647 -1.73306 785.744995 ]
[-18.607   34.5328 783.637 ] , [ -18.364401 33.585899 783.226013 ] [ -17.3769 34.694199 782.236023 ] [ -19.040001 34.6115 784.395996 ]
[-17.4257 -46.299  782.845 ] , [ -16.625299 -46.268501 782.940979 ] [ -19.8158 -46.105999 783.258972 ] [ -17.9988 -46.830101 782.184998 ]
[-25.0617 -43.6927 782.028 ] , [ -25.1828 -43.2617 782.343018 ] [ -25.714399 -44.1661 781.603027 ] [ -25.5089 -45.260399 782.223999 ]
[-16.6227 -28.2684 784.114 ] , [ -16.7076 -28.0299 784.349976 ] [ -17.250401 -29.0952 782.73999 ] [ -16.033001 -29.5112 783.494995 ]
[ 18.4389   -9.75878 783.165  ] , [ 18.7087 -8.37168 781.940002 ] [ 18.3641 -9.55022 783.289978 ] [ 18.996201 -10.2287 783.184021 ]
[  9.69701  -2.82282 784.464  ] , [ 10.8559 -2.74464 783.671021 ] [ 8.96171 -1.25638 783.612 ] [ 10.1021 -4.3937 785.375 ]
[ 12.4897   -4.29375 783.326  ] , [ 12.8949 -3.9458 782.528992 ] [ 11.4193 -3.67342 783.859009 ] [ 12.5115 -4.64233 783.53302 ]
[  6.6657   -1.77594 784.979  ] , [ 5.37183 -2.66043 785.882019 ] [ 6.87084 -1.99867 784.945984 ] [ 6.00363 -0.512474 784.031982 ]
[  3.56938  -1.15218 785.085  ] , [ 2.79135 -2.11581 785.916016 ] [ 3.32907 0.984388 783.143982 ] [ 2.60018 -0.730904 784.728027 ]
[ 18.9664 -44.0176 785.513 ] , [ 20.0441 -44.886398 784.231995 ] [ 19.481899 -42.7131 787.495972 ] [ 18.1043 -44.083302 785.393005 ]
[ 15.4601 -45.1025 783.794 ] , [ 16.038601 -45.292 783.515991 ] [ 14.213 -44.423199 784.80603 ] [ 13.4434 -45.469601 783.182007 ]
[ -3.95707 -43.6005  786.054  ] , [ 0.25907 -44.086601 785.224976 ] [ -4.15132 -43.043499 786.890015 ] [ -3.78597 -44.7981 784.221985 ]
[ -2.08171 -45.4675  783.151  ] , [ 0.511825 -46.3395 781.763 ] [ -1.69267 -45.257198 783.45697 ] [ -5.05763 -46.1506 782.142029 ]
[-6.33327e-01 -4.25519e+01  7.87601e+02] , [ 0.25907 -44.086601 785.224976 ] [ -0.151959 -42.4608 787.734009 ] [ -4.15132 -43.043499 786.890015 ]
[-21.3241  37.6985 783.324 ] , [ -21.9853 37.809299 783.63501 ] [ -20.384701 37.105701 783.333008 ] [ -21.564501 38.216 783.044983 ]
[-24.017   32.7304 784.627 ] , [ -24.9739 31.9233 783.809998 ] [ -23.800301 32.268101 785.856018 ] [ -24.0788 32.795502 786.317993 ]
[-23.033  -39.3778 781.897 ] , [ -22.838699 -38.740898 783.952026 ] [ -22.976601 -38.6772 782.111023 ] [ -24.0119 -40.023102 781.315979 ]
[-17.7698 -34.2974 784.614 ] , [ -18.938101 -34.6082 784.669006 ] [ -18.851601 -34.3242 786.213013 ] [ -17.5909 -33.881802 784.257019 ]
[ 36.2797 -33.7113 783.824 ] , [ 36.215199 -34.403301 783.754028 ] [ 37.9286 -34.249699 782.853027 ] [ 36.068901 -33.590302 784.129028 ]
[ 34.6842 -28.7895 783.91  ] , [ 35.722099 -28.381701 783.036011 ] [ 34.2966 -28.712299 784.73999 ] [ 35.418098 -28.990101 783.90802 ]
[ 22.4699 -21.0285 782.895 ] , [ 23.064699 -21.605499 782.299988 ] [ 23.299101 -19.6602 782.291992 ] [ 21.8267 -20.618 783.312012 ]
[ 21.4023 -13.9579 783.337 ] , [ 21.5623 -13.9637 783.247986 ] [ 20.032101 -13.6813 784.04303 ] [ 21.1028 -14.8161 783.89502 ]
[ -5.84212  -1.7079  783.26   ] , [ -4.24469 -1.34123 783.752991 ] [ -6.2752 -1.60415 783.06897 ] [ -5.68973 -2.17448 783.859009 ]
[ -3.5424   -4.32139 786.911  ] , [ -3.99041 -4.70887 786.97699 ] [ -3.03421 -5.49616 788.101013 ] [ -2.76472 -3.56185 786.655029 ]
[-19.1974  27.6962 782.827 ] , [ -19.356899 27.4184 782.836975 ] [ -18.611 27.822901 783.228027 ] [ -19.664101 28.6402 783.460022 ]
[-13.2559 -46.9658 781.724 ] , [ -14.8178 -46.4767 782.804993 ] [ -13.194 -47.026699 781.68103 ] [ -13.3633 -46.4473 782.692993 ]
[-10.2966 -45.6925 783.006 ] , [ -10.6623 -47.129601 780.862 ] [ -8.24711 -46.465698 781.737976 ] [ -10.7795 -45.476501 783.346008 ]
[ 13.5105 -43.4448 786.799 ] , [ 12.7009 -43.7234 785.820007 ] [ 14.0447 -43.214298 786.929993 ] [ 12.3421 -43.300301 786.942017 ]
[ 10.0827 -44.2837 785.04  ] , [ 10.687 -45.0681 783.690002 ] [ 10.1352 -44.035801 785.169006 ] [ 8.27984 -45.1996 783.521973 ]
[ 33.6216 -36.1905 784.297 ] , [ 35.019901 -35.903702 783.801025 ] [ 33.984402 -36.0485 784.710022 ] [ 33.100498 -36.445801 783.854004 ]
[-20.0685 -34.7657 781.768 ] , [ -19.056299 -35.1721 783.275024 ] [ -19.400101 -36.1912 781.471985 ] [ -19.6217 -35.634201 782.955994 ]
[ 30.5603 -25.2117 783.003 ] , [ 30.4589 -25.3211 782.150024 ] [ 29.9888 -25.442301 783.325012 ] [ 31.0033 -26.0165 783.120972 ]
[-19.1006 -25.9348 783.606 ] , [ -19.6063 -25.815701 783.320984 ] [ -18.805201 -27.553499 782.63501 ] [ -19.119101 -25.410601 784.007019 ]
[  7.33058   1.18429 782.311  ] , [ 7.56801 0.473006 782.794006 ] [ 7.4388 1.29194 782.252014 ] [ 6.19124 1.06874 782.728027 ]
[  4.39191   1.92224 782.392  ] , [ 6.19124 1.06874 782.728027 ] [ 4.99772 2.44665 781.872009 ] [ 4.04061 1.97327 782.346008 ]
[-13.0924  17.0729 781.1   ] , [ -12.8163 17.396099 780.53302 ] [ -13.6565 17.4354 781.843994 ] [ -13.7387 16.748199 781.362976 ]
[-15.5484  19.5203 783.938 ] , [ -15.844 19.9202 783.903015 ] [ -15.2684 18.9582 783.835022 ] [ -15.3796 20.870399 783.549011 ]
[-17.3717  17.9168 783.607 ] , [ -17.604 18.162399 783.747986 ] [ -17.9175 16.666 783.468018 ] [ -16.7707 17.650801 783.981995 ]
[-17.997   22.7977 782.863 ] , [ -18.0825 21.9326 782.723999 ] [ -17.663799 22.08 783.119995 ] [ -18.094999 23.4585 782.913025 ]
[-13.9548  22.5546 781.437 ] , [ -14.0278 23.215599 781.526001 ] [ -13.6419 21.406401 781.577026 ] [ -13.0641 22.1024 780.73999 ]
[ 11.9543 -46.1098 782.074 ] , [ 12.6145 -46.252701 781.921021 ] [ 11.3159 -45.782001 782.573975 ] [ 9.11774 -46.119202 782.130005 ]
[-24.1173 -47.4288 780.574 ] , [ -23.0515 -46.815899 781.487976 ] [ -24.8783 -47.748199 779.952026 ] [ -23.491301 -47.896301 779.791016 ]
[-26.1914 -45.5896 779.609 ] , [ -26.0882 -45.415501 781.148987 ] [ -26.4214 -44.9081 780.065979 ] [ -27.0772 -46.236 778.629028 ]
[-24.7234 -41.3953 779.649 ] , [ -25.983999 -42.692699 778.791992 ] [ -25.878099 -42.798401 780.231995 ] [ -24.4797 -40.662601 779.961975 ]
[ 25.6856 -24.0324 782.509 ] , [ 25.786501 -24.3652 783.297974 ] [ 26.6071 -24.520399 782.260986 ] [ 25.3962 -24.7299 782.718994 ]
[-16.3122 -15.9455 785.489 ] , [ -15.1895 -15.4496 785.791016 ] [ -16.859301 -16.007299 785.062988 ] [ -14.3879 -17.0499 787.538025 ]
[-19.4956 -17.4606 783.536 ] , [ -18.593901 -16.016899 783.603027 ] [ -20.561001 -17.8995 782.802002 ] [ -19.087999 -17.512501 784.030029 ]
[ 23.507  -18.3496 782.248 ] , [ 24.7859 -16.824301 781.223999 ] [ 21.9051 -18.2045 783.692993 ] [ 23.299101 -19.6602 782.291992 ]
[ 15.6055   -4.90909 782.827  ] , [ 16.007999 -4.55497 782.015991 ] [ 14.8886 -4.47906 782.546021 ] [ 14.6153 -5.06628 783.356018 ]
[ 15.4619   -7.89408 785.129  ] , [ 15.1278 -8.63099 785.796997 ] [ 15.7235 -7.78397 784.919006 ] [ 13.1579 -7.46151 785.804016 ]
[-14.9999  15.6163 780.35  ] , [ -15.0017 15.6238 781.377014 ] [ -15.2825 15.0931 780.021973 ] [ -13.8342 15.7538 780.487976 ]
[-17.8528  20.3907 780.502 ] , [ -17.845301 20.0495 779.463989 ] [ -18.2493 19.885201 781.854004 ] [ -18.285299 21.7069 781.323975 ]
[ 22.3364  27.2883 782.934 ] , [ 22.4769 26.374399 782.299988 ] [ 23.371599 27.3694 782.75 ] [ 22.3395 27.1805 782.098022 ]
[ 22.3352  24.2801 780.852 ] , [ 20.514299 25.4963 781.854004 ] [ 21.4077 24.568199 782.538025 ] [ 21.7456 25.3908 782.572021 ]
[ 25.3349  28.7308 782.862 ] , [ 25.830299 28.425301 782.401001 ] [ 25.1984 31.7852 781.981995 ] [ 25.1476 28.5235 782.585999 ]
[-16.1329  25.4109 782.729 ] , [ -16.0492 27.040501 782.15802 ] [ -16.8232 25.468201 783.078003 ] [ -15.6073 24.726801 782.513 ]
[-18.9205  25.3039 780.564 ] , [ -18.8449 24.3974 781.434998 ] [ -19.7043 26.775 781.349976 ] [ -18.7386 24.7673 780.039978 ]
[-22.497   41.1733 781.809 ] , [ -22.394699 41.7103 781.104004 ] [ -23.352301 41.4725 781.955994 ] [ -21.6535 39.449402 782.13501 ]
[-24.1796  35.8343 782.44  ] , [ -25.131201 35.4716 782.348022 ] [ -24.887199 36.071999 783.0 ] [ -24.976999 37.411999 781.890015 ]
[-16.1341 -47.924  780.36  ] , [ -17.7526 -48.243599 780.026001 ] [ -15.1943 -48.257702 779.934998 ] [ -16.2463 -47.677399 781.114014 ]
[ 17.4034 -46.9805 780.893 ] , [ 19.5075 -47.433498 780.280029 ] [ 19.4013 -46.873001 781.184998 ] [ 16.536301 -46.945702 780.932983 ]
[ 21.0392 -45.8573 782.701 ] , [ 20.2071 -46.355701 782.025024 ] [ 24.312099 -44.095699 785.47998 ] [ 20.0441 -44.886398 784.231995 ]
[  3.14115 -46.3696  781.808  ] , [ 2.03717 -46.9035 780.872009 ] [ 4.30805 -46.312199 781.877014 ] [ 0.511825 -46.3395 781.763 ]
[  1.28727 -44.4226  784.695  ] , [ 1.83205 -44.573601 784.487976 ] [ 0.25907 -44.086601 785.224976 ] [ -1.69267 -45.257198 783.45697 ]
[-21.8865 -47.5344 780.716 ] , [ -21.1889 -47.632198 780.960022 ] [ -22.1863 -47.492001 781.01001 ] [ -21.800699 -48.851002 779.004028 ]
[ 35.479  -38.7037 781.676 ] , [ 36.559502 -38.296101 780.86499 ] [ 35.676998 -38.036999 781.846008 ] [ 34.527302 -38.419998 781.143005 ]
[ -8.96565  -2.5827  782.017  ] , [ -9.8892 -3.23474 781.992981 ] [ -8.90136 -3.03664 782.585022 ] [ -7.97742 -1.21391 781.646973 ]
[ -4.80974   1.54789 780.518  ] , [ -3.93742 1.31221 781.388977 ] [ -4.83371 1.9693 780.114014 ] [ -5.80447 0.398114 781.215027 ]
[  1.31984   2.18392 782.114  ] , [ 2.35217 1.64775 782.594971 ] [ 1.21923 2.45703 781.86499 ] [ 0.77474 1.22277 782.870972 ]
[-11.616   19.8901 779.402 ] , [ -11.7687 20.1462 780.086975 ] [ -11.9024 18.7789 779.533997 ] [ -11.0639 20.132299 778.567017 ]
[-21.3508  29.7919 780.285 ] , [ -21.2113 29.5613 779.395996 ] [ -21.3615 29.4231 780.276001 ] [ -22.496201 30.517599 780.153015 ]
[-23.3843  31.1567 782.443 ] , [ -22.867901 30.5277 782.281982 ] [ -24.023399 31.212799 782.934021 ] [ -24.251499 31.3169 782.247986 ]
[-18.6151  36.8426 781.749 ] , [ -18.860201 37.6618 781.280029 ] [ -18.396999 36.253502 782.171021 ] [ -18.0369 37.118801 780.961975 ]
[-19.0308  39.7039 779.77  ] , [ -18.141899 39.095299 779.466003 ] [ -20.931101 41.4552 780.159973 ] [ -20.7656 40.203999 780.838013 ]
[ 24.5291 -15.5109 781.295 ] , [ 24.704 -14.8815 780.997986 ] [ 22.936199 -16.484301 782.705017 ] [ 24.7859 -16.824301 781.223999 ]
[ 21.9135 -11.1015 781.724 ] , [ 22.631001 -11.5509 781.539001 ] [ 21.8365 -10.3259 781.377014 ] [ 21.7623 -11.24 781.960999 ]
[ 25.2203 -12.6422 779.804 ] , [ 26.645399 -12.7933 778.765991 ] [ 25.600201 -10.5531 778.39502 ] [ 25.010401 -12.9156 780.05603 ]
[ 22.7282  30.7272 781.977 ] , [ 23.396601 28.739 782.362 ] [ 22.8241 31.587 781.546997 ] [ 21.821699 28.5033 781.551025 ]
[ 19.393   25.7577 781.233 ] , [ 17.9643 25.325399 780.289978 ] [ 19.7029 25.7838 781.275024 ] [ 17.9123 26.1395 780.158997 ]
[-16.7479  32.5082 781.186 ] , [ -16.7815 32.3829 781.273987 ] [ -16.136999 33.360199 780.411011 ] [ -18.364401 33.585899 783.226013 ]
[-24.862   34.3462 779.957 ] , [ -24.558901 34.624199 779.31897 ] [ -25.072201 33.5201 780.510986 ] [ -25.118 34.8773 781.406006 ]
[ 32.3947 -41.3674 781.69  ] , [ 32.102299 -40.373199 781.148987 ] [ 31.369499 -41.931999 782.982971 ] [ 33.000099 -41.272099 780.250977 ]
[ 38.5776 -36.2753 781.536 ] , [ 37.805599 -36.547501 781.913025 ] [ 39.067501 -36.7631 781.606018 ] [ 38.077599 -35.389702 781.968994 ]
[ 37.6021 -30.6537 781.551 ] , [ 37.4184 -29.984301 780.518005 ] [ 36.913601 -30.3134 782.112976 ] [ 38.395302 -31.031799 781.380981 ]
[-16.374 -12.485 783.308] , [ -16.121 -13.5065 783.848022 ] [ -16.249901 -11.8574 783.403015 ] [ -16.9289 -12.8045 782.603027 ]
[-19.5273 -13.8031 781.378 ] , [ -19.704 -12.2413 779.78302 ] [ -20.5154 -14.1766 780.578979 ] [ -19.2887 -14.0023 781.763977 ]
[-16.3772   -8.97591 781.197  ] , [ -17.1768 -9.12931 780.468018 ] [ -16.495199 -9.44599 781.948975 ] [ -16.139299 -7.99016 780.393005 ]
[-12.9103   -7.54303 782.861  ] , [ -11.9392 -7.38511 783.19397 ] [ -13.459 -7.47276 782.276001 ] [ -13.1435 -8.19659 783.281006 ]
[ 18.4746   -7.22094 780.959  ] , [ 17.9816 -5.83662 780.325989 ] [ 18.3578 -7.09567 781.495972 ] [ 18.882 -7.39852 780.637024 ]
[ 19.9519  29.4892 780.    ] , [ 19.139799 29.171801 779.427002 ] [ 19.7349 28.505699 780.130005 ] [ 21.1597 29.970699 780.799988 ]
[-15.2596  27.7408 780.917 ] , [ -15.1226 26.698601 781.252991 ] [ -15.1851 28.5704 780.424988 ] [ -16.936399 29.5604 782.171997 ]
[ 22.8996  34.3072 780.923 ] , [ 21.488899 33.594101 780.205017 ] [ 23.509399 33.578098 781.429016 ] [ 23.135599 35.112499 780.838013 ]
[ 20.1464  33.3732 779.088 ] , [ 19.18 33.658401 778.120972 ] [ 19.896999 32.873699 779.059998 ] [ 21.488899 33.594101 780.205017 ]
[-15.6875  35.2808 780.039 ] , [ -16.2152 34.881302 780.846985 ] [ -14.7833 35.3881 778.906006 ] [ -16.456499 35.663101 780.750977 ]
[ 25.7818  34.5206 781.61  ] , [ 26.281799 34.3512 781.547974 ] [ 25.275299 35.187901 781.60498 ] [ 25.848301 33.997799 781.632019 ]
[ 23.2455  38.4824 780.467 ] , [ 22.6766 38.7598 779.711975 ] [ 23.082199 37.474701 780.257019 ] [ 24.615801 38.087399 781.075989 ]
[ 26.3765  38.1216 780.963 ] , [ 26.5858 36.702801 781.635986 ] [ 25.8361 39.274502 781.629028 ] [ 25.7141 37.640701 781.515991 ]
[-29.2127  44.3019 780.581 ] , [ -29.795401 44.064602 781.017029 ] [ -28.974501 43.327999 781.018982 ] [ -28.3915 43.817699 781.757019 ]
[-27.0033  42.4085 781.885 ] , [ -26.964899 42.9916 782.223022 ] [ -28.3915 43.817699 781.757019 ] [ -26.9279 41.823799 782.013 ]
[-26.1611  45.4095 781.743 ] , [ -24.911301 44.913898 780.685974 ] [ -26.487101 46.510201 780.77002 ] [ -27.133101 45.283501 781.690002 ]
[-29.5802  46.0403 783.867 ] , [ -30.671301 47.039398 783.247986 ] [ -30.303801 46.128601 782.619995 ] [ -29.8682 46.785099 782.528015 ]
[-30.9287  46.8355 778.495 ] , [ -32.9091 46.549099 778.874023 ] [ -31.0189 46.057098 777.39502 ] [ -31.961399 45.524799 779.93103 ]
[-19.7371 -47.2086 781.598 ] , [ -18.694799 -47.482201 781.172974 ] [ -17.9988 -46.830101 782.184998 ] [ -21.1889 -47.632198 780.960022 ]
[ 21.8563   -8.58061 779.539  ] , [ 22.015699 -7.67381 778.697998 ] [ 21.2868 -7.41296 779.073975 ] [ 22.006399 -8.87115 780.085022 ]
[-11.7584   -3.99011 780.28   ] , [ -12.2402 -3.73683 778.950012 ] [ -12.0305 -5.36803 781.421997 ] [ -11.2906 -3.68049 780.83197 ]
[  2.27633   5.52014 779.544  ] , [ 3.61792 4.56608 780.495972 ] [ 2.11755 6.47031 778.651001 ] [ 2.10304 4.88124 780.094971 ]
[ 17.6659  20.0519 779.372 ] , [ 17.4877 19.638 778.757996 ] [ 18.2211 20.452 779.45697 ] [ 16.625 20.951401 778.288025 ]
[ 19.66    22.3196 780.339 ] , [ 19.4403 21.578899 780.593994 ] [ 20.4809 22.624201 781.375 ] [ 18.841299 22.741199 780.323975 ]
[ 16.988   24.1769 779.393 ] , [ 16.633301 24.990499 779.215027 ] [ 17.1959 23.3269 779.312012 ] [ 17.9643 25.325399 780.289978 ]
[-20.1777  27.7783 778.067 ] , [ -19.7677 26.048 777.848999 ] [ -20.491899 27.7924 778.478027 ] [ -20.7953 28.3269 777.872986 ]
[ 20.4223  37.4841 778.15  ] , [ 21.316 36.531601 779.140015 ] [ 20.4447 37.733501 778.073975 ] [ 19.661501 36.719501 777.541016 ]
[-18.1145 -29.2891 781.681 ] , [ -16.7169 -30.7428 781.934021 ] [ -18.782801 -28.663 781.666016 ] [ -18.114901 -29.919399 781.046997 ]
[ 28.4353 -26.1013 780.187 ] , [ 28.9956 -25.348301 781.270996 ] [ 29.3255 -25.3008 779.546997 ] [ 28.114799 -25.169701 779.971008 ]
[-22.5721 -19.314  781.195 ] , [ -22.504299 -19.751301 780.380005 ] [ -22.035999 -19.7992 781.010986 ] [ -22.0116 -18.272301 780.872009 ]
[-21.2863 -22.8726 782.758 ] , [ -20.310101 -21.785101 783.025024 ] [ -21.1961 -22.986799 782.500977 ] [ -19.613199 -23.3645 783.776001 ]
[-17.8796  23.1326 778.031 ] , [ -17.427 22.9662 776.189026 ] [ -18.0618 23.028601 778.744995 ] [ -17.998899 24.004999 777.419006 ]
[ 28.5643  37.6065 778.12  ] , [ 28.7377 35.984299 778.508972 ] [ 29.0721 37.195499 776.728027 ] [ 29.6894 37.430801 777.607971 ]
[-15.9     38.0057 777.839 ] , [ -17.116301 39.783901 777.557983 ] [ -16.015301 37.5956 778.359009 ] [ -14.696 37.237 777.236023 ]
[ 28.6373  44.8038 779.632 ] , [ 28.7694 47.408298 778.200989 ] [ 28.5163 44.500801 780.18103 ] [ 29.2668 44.653 779.807983 ]
[ 24.2192  43.6209 779.189 ] , [ 23.5769 43.094501 779.002014 ] [ 25.1681 43.317699 780.021973 ] [ 24.567101 44.158001 778.68103 ]
[-28.1997  49.7237 780.909 ] , [ -27.4587 50.135101 779.994995 ] [ -29.109301 49.712898 781.359985 ] [ -27.314699 48.3675 780.630005 ]
[ -8.61397 -47.4961  780.171  ] , [ -10.6623 -47.129601 780.862 ] [ -7.79395 -47.926201 779.473022 ] [ -8.24711 -46.465698 781.737976 ]
[ -5.3828 -46.5016 781.643 ] , [ -5.27752 -47.752201 779.690979 ] [ -5.05763 -46.1506 782.142029 ] [ -8.24711 -46.465698 781.737976 ]
[ 26.899  -46.7517 781.827 ] , [ 29.403 -46.386002 782.065979 ] [ 26.7852 -46.092999 782.539978 ] [ 26.290501 -47.404301 780.508972 ]
[ 32.4172 -47.1405 780.136 ] , [ 32.921501 -47.173199 779.643982 ] [ 31.9636 -46.697498 780.510986 ] [ 31.7609 -47.158001 779.862 ]
[ 31.0557 -44.5919 783.277 ] , [ 31.43 -43.906898 783.242004 ] [ 30.636101 -43.891201 784.012024 ] [ 31.0305 -44.727699 783.096985 ]
[ 34.8701 -44.3186 779.723 ] , [ 34.622601 -44.939499 778.627991 ] [ 34.371601 -44.062599 778.901978 ] [ 33.728802 -44.881199 779.692993 ]
[ 37.9065 -41.8876 780.036 ] , [ 37.244499 -42.746101 778.606995 ] [ 38.019402 -41.735401 780.002991 ] [ 36.749599 -41.8787 779.442017 ]
[ 40.8037 -39.2323 779.119 ] , [ 41.5257 -39.486301 778.997009 ] [ 40.650799 -38.303398 779.617981 ] [ 40.419399 -39.1381 779.575989 ]
